date,count,position
2020-01-01,0,28287
2020-01-08,0,28287
2020-01-15,0,28287
2020-01-22,0,28287
2020-01-29,0,28287
2020-02-05,0,28287
2020-02-12,0,28287
2020-02-19,0,28287
2020-02-26,0,28287
2020-03-04,0,28287
2020-03-11,0,28287
2020-03-18,0,28287
2020-03-25,0,28287
2020-04-01,0,28287
2020-04-08,0,28287
2020-04-15,0,28287
2020-04-22,0,28287
2020-04-29,0,28287
2020-05-06,0,28287
2020-05-13,0,28287
2020-05-20,0,28287
2020-05-27,0,28287
2020-06-03,0,28287
2020-06-10,0,28287
2020-06-17,0,28287
2020-06-24,0,28287
2020-07-01,0,28287
2020-07-08,0,28287
2020-07-15,0,28287
2020-07-22,1,28287
2020-07-29,0,28287
2020-08-05,0,28287
2020-08-12,0,28287
2020-08-19,0,28287
2020-08-26,0,28287
2020-09-02,0,28287
2020-09-09,0,28287
2020-09-16,0,28287
2020-09-23,0,28287
2020-09-30,0,28287
2020-10-07,0,28287
2020-10-14,0,28287
2020-10-21,1,28287
2020-10-28,0,28287
2020-11-04,1,28287
2020-11-11,0,28287
2020-11-18,0,28287
2020-11-25,0,28287
2020-12-02,0,28287
2020-12-09,0,28287
2020-12-16,0,28287
2020-12-23,2,28287
2020-12-30,2,28287
2021-01-06,0,28287
2021-01-13,1,28287
2021-01-20,3,28287
2021-01-27,0,28287
2021-02-03,0,28287
2021-02-10,0,28287
2021-02-17,1,28287
2021-02-24,4,28287
2021-03-03,7,28287
2021-03-10,5,28287
2021-03-17,6,28287
2021-03-24,39,28287
2021-03-31,1,28287
2021-04-07,4,28287
2021-04-14,1,28287
2021-04-21,0,28287
2021-04-28,2,28287
2021-05-05,1,28287
2021-05-12,1,28287
2021-05-19,2,28287
2021-05-26,1,28287
2021-06-02,1,28287
2021-06-09,2,28287
2021-06-16,2,28287
2021-06-23,2,28287
2021-06-30,2,28287
2021-07-07,2,28287
2021-07-14,5,28287
2021-07-21,0,28287
2021-07-28,3,28287
2021-08-04,9,28287
2021-08-11,3,28287
2021-08-18,2,28287
2021-08-25,4,28287
2021-09-01,3,28287
2021-09-08,5,28287
2021-09-15,9,28287
2021-09-22,2,28287
2021-09-29,23,28287
2021-10-06,5,28287
2021-10-13,8,28287
2021-10-20,13,28287
2021-10-27,10,28287
2021-11-03,12,28287
2021-11-10,16,28287
2021-11-17,13,28287
2021-11-24,15,28287
2021-12-01,29,28287
2021-12-08,20,28287
2021-12-15,11,28287
2021-12-22,7,28287
2021-12-29,9,28287
2022-01-05,7,28287
2022-01-12,3,28287
2022-01-19,8,28287
2022-01-26,2,28287
2022-02-02,9,28287
2022-02-09,3,28287
2022-02-16,7,28287
2022-02-23,5,28287
2022-03-02,3,28287
2022-03-09,6,28287
2022-03-16,9,28287
2022-03-23,6,28287
2022-03-30,8,28287
2022-04-06,2,28287
2022-04-13,7,28287
2022-04-20,3,28287
2022-04-27,6,28287
2022-05-04,2,28287
2022-05-11,2,28287
2022-05-18,0,28287
2022-05-25,1,28287
2022-06-01,2,28287
2022-06-08,1,28287
